problem_id,title,python_first_failed,python_first_failure_count,python_all_approaches_failed,python_all_approaches_failure_count,javascript_first_failed,javascript_first_failure_count,failed_any_suite,failed_all_suites,total_failure_records,top_reason_1,top_reason_2,top_reason_3
c796c649-19b9-441f-b566-5d6ba016a892,Add and Search Word,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
fc679878-6d45-4197-8df4-186407fcba90,Binary Search,True,1,True,2,True,1,True,True,4,signature rejected: Function signature does not match problem definition. Ensure your code defines the required function with the exact name and parameter order from the problem.,,
6c64f598-831e-42d4-9e9b-0fd7289a2da1,Binary Tree Level Order Traversal,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
e5181b55-47eb-482b-9ca8-bdce75bb5dd7,Binary Tree Maximum Path Sum,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
b0474bb7-34df-46d7-bd33-6e102c523dfd,Clone Graph,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,,
cadc1493-5d9a-4b6c-bd6d-14fabb93d2b0,Combination Sum,True,1,True,2,True,1,True,True,4,status=wrong_answer passed=0/2,,
e691364f-fd4b-4185-8e20-5936a0f22e81,Count of Smaller Numbers After Self,True,1,True,2,True,1,True,True,4,status=wrong_answer passed=1/2,status=wrong_answer passed=0/2,
939319be-d4a1-4468-897a-0fc80555deb2,Course Schedule,True,1,True,2,True,1,True,True,4,status=wrong_answer passed=1/2,status=runtime_error passed=0/2,
2de68f6f-dcb1-4725-a601-00fe0d6bd4d2,Edit Distance,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
077b5028-8f44-4358-aa6a-214601df06e9,Evaluate Reverse Polish Notation,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
64e42f09-e4dc-4148-a0d1-d5eef5772e5f,Find First and Last Position of Element in Sorted Array,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
1517b668-acf0-4a2c-9b93-02056fc7e635,Find Median from Data Stream,True,1,True,2,True,1,True,True,4,signature rejected: Function signature does not match problem definition. Ensure your code defines the required function with the exact name and parameter order from the problem.,,
5e9dc216-d087-4f7a-abee-2ea59b484a0e,First Bad Version,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
7e529190-8fb1-43c1-a142-d38fb1461696,Generate Parentheses,True,1,True,2,True,1,True,True,4,status=wrong_answer passed=0/2,,
2eabd6dd-4cc6-4d93-9b2a-05945ea1a3ad,Group Anagrams,True,1,True,2,True,1,True,True,4,status=runtime_error passed=1/2,,
19b6c742-a1e0-426e-87ef-2821f5e6ffa0,Implement Queue using Stacks,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
0b0b0991-a566-43b0-a3bd-b1b26aa989be,Implement Stack using Queues,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,,
1bec511a-7ffb-4769-a3e0-f6d0c44b0393,Implement Trie,True,1,True,2,True,1,True,True,4,status=wrong_answer passed=0/2,,
5bc24bd3-20d7-40b4-a6dd-61f955222b39,Insert Interval,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,,
dcd45660-c6aa-4aeb-8d15-76b90a67712d,Invert Binary Tree,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
31b117c4-0bd0-4cbd-a7b1-2e372f92d4c0,K Closest Points to Origin,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,,
4ae3377b-aabc-44e7-8b23-987dd5dfb4c6,Kth Largest Element in an Array,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
6a60aa02-ea6c-41c2-a064-47d6731cc279,LRU Cache,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
9b214fef-bcda-440a-bedf-bd94b7c37059,Letter Combinations of a Phone Number,True,1,True,2,True,1,True,True,4,status=wrong_answer passed=0/2,,
e936e8dd-832f-403a-888d-79b929fb07c6,Linked List Cycle,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
f0231f69-2164-4d48-b819-df5ee174f6bb,Longest Common Subsequence,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
78f6f2e5-d083-44f7-9c8d-8375587d4d4d,Longest Repeating Character Replacement,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
3f911a9a-cf8d-423a-91d3-4f3a8cb13d90,Lowest Common Ancestor of a BST,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,,
e9522157-c391-4ad7-8b7f-df80425f5324,Maximum Depth of Binary Tree,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
e1c7306b-658a-40b2-8927-6e8ac4fed947,Maximum Product of Word Lengths,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,,
f1b24dc1-6a8a-4c1b-aeee-0da5a79fdd62,Merge Intervals,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
2d007507-ed5e-4afc-800a-730304cdd13e,Merge k Sorted Lists,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
5c6cd77b-65a5-4cdf-85fa-3f2cd7faa67e,Min Stack,True,1,True,2,True,1,True,True,4,signature rejected: Function signature does not match problem definition. Ensure your code defines the required function with the exact name and parameter order from the problem.,status=wrong_answer passed=0/2,
f7cb6523-ffec-4868-a31e-95ac7d24f123,Minimum Path Sum,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,,
b01d74fb-9b9d-440c-88f8-020e31721716,Minimum Window Substring,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
72f91794-1503-46b9-ae26-0c481fad1bb5,Move Zeroes,True,1,True,2,True,1,True,True,4,status=wrong_answer passed=1/2,status=wrong_answer passed=0/2,
3dee1118-34b6-477e-b3e6-f561678af14e,N-Queens,True,1,True,2,True,1,True,True,4,status=wrong_answer passed=0/2,,
6c2ff960-e68c-48e3-b8a2-0354c77e4fc0,Next Permutation,True,1,True,2,True,1,True,True,4,status=wrong_answer passed=0/2,,
1fc681ae-c727-4b96-a68c-dd5c46e82ec8,Number of Islands,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,status=wrong_answer passed=0/2,
b833a154-a409-41db-bf05-359eed2df012,Pacific Atlantic Water Flow,True,1,True,2,True,1,True,True,4,status=runtime_error passed=0/2,,
